98311,25.67,Bremerton,47.627100,-122.637300
98312,27.95,Bremerton,47.575400,-122.695800
98314,25.74,Bremerton,47.559300,-122.649200
98322,26.63,Burley,47.417900,-122.631000
98337,25.20,Bremerton,47.568600,-122.637300
98342,23.94,Indianola,47.751400,-122.519600
98345,26.54,Keyport,47.698000,-122.625500
98346,26.69,Kingston,47.810800,-122.525500
98353,24.65,Manchester,47.595200,-122.622500
98359,24.02,Olalla,47.424100,-122.574500
98366,22.86,Port Orchard,47.542700,-122.587100
98367,26.47,Port Orchard,47.470700,-122.651000
98370,27.92,Poulsbo,47.742300,-122.627700
98378,23.98,Retsil,47.545900,-122.611200
98383,28.98,Silverdale,47.662100,-122.698100
98384,20.75,South Colby,47.521800,-122.539600
98386,18.99,Southworth,47.510400,-122.499100
98392,24.79,Suquamish,47.734300,-122.557300
98393,26.25,Tracyton,47.626700,-122.650000
98321,27.78,Buckley,47.152400,-122.062100
98332,27.01,Gig Harbor,47.360700,-122.600100
98335,29.63,Gig Harbor,47.300200,-122.608400
98354,23.44,Milton,47.248300,-122.315500
98371,26.54,Puyallup,47.199100,-122.315100
98372,25.52,Puyallup,47.204200,-122.273400
98374,29.49,Puyallup,47.142400,-122.265200
98385,28.70,South Prairie,47.138300,-122.096800
98390,24.53,Sumner,47.209900,-122.228000
98391,28.55,Bonney Lake,47.143000,-122.164400
98395,28.19,Wauna,47.379000,-122.642600
98401,26.33,Tacoma,47.253700,-122.444300
98402,26.18,Tacoma,47.254500,-122.440500
98403,26.15,Tacoma,47.264300,-122.457500
98404,27.88,Tacoma,47.211300,-122.412600
98405,27.20,Tacoma,47.248400,-122.464300
98406,27.50,Tacoma,47.263200,-122.499300
98407,26.70,Tacoma,47.282500,-122.503900
98408,28.93,Tacoma,47.207300,-122.444400
98411,26.37,Tacoma,47.252900,-122.444300
98412,26.37,Tacoma,47.252900,-122.444300
98413,26.37,Tacoma,47.252900,-122.444300
98415,26.37,Tacoma,47.252900,-122.444300
98416,26.89,Tacoma,47.264600,-122.482100
98418,28.08,Tacoma,47.223200,-122.446500
98421,24.42,Tacoma,47.266400,-122.401500
98422,22.76,Tacoma,47.294800,-122.398300
98424,25.36,Tacoma,47.232500,-122.359400
98431,26.37,Tacoma,47.252900,-122.444300
98438,28.56,Mcchord Afb,47.225800,-122.469000
98443,27.36,Tacoma,47.204400,-122.372800
98464,26.37,Tacoma,47.252900,-122.444300
98465,29.11,Tacoma,47.249100,-122.527300
98471,26.37,Tacoma,47.252900,-122.444300
98481,26.37,Tacoma,47.252900,-122.444300
98493,26.37,Tacoma,47.252900,-122.444300
98012,20.33,Bothell,47.840100,-122.197200
98020,21.63,Edmonds,47.806100,-122.372400
98021,17.48,Bothell,47.791800,-122.224300
98026,22.20,Edmonds,47.835300,-122.327000
98036,19.44,Lynnwood,47.804900,-122.285500
98037,21.58,Lynnwood,47.839200,-122.285500
98043,19.23,Mountlake Terrace,47.793300,-122.307600
98046,21.06,Lynnwood,47.820900,-122.315100
98077,13.88,Woodinville,47.752900,-122.058200
98082,21.75,Mill Creek,47.860100,-122.204300
98087,22.50,Lynnwood,47.862000,-122.253200
98203,27.44,Everett,47.941900,-122.221800
98204,25.03,Everett,47.901700,-122.247200
98206,22.88,Everett,47.859900,-122.284800
98207,29.79,Everett,47.979000,-122.202100
98208,24.03,Everett,47.894800,-122.198700
98213,27.70,Everett,47.945100,-122.226900
98251,28.84,Gold Bar,47.833100,-121.636500
98272,22.18,Monroe,47.858500,-121.947400
98275,27.03,Mukilteo,47.919900,-122.301900
98290,23.64,Snohomish,47.895400,-122.071600
98291,24.68,Snohomish,47.909500,-122.050100
98293,26.68,Startup,47.870300,-121.768500
98294,26.93,Sultan,47.858900,-121.736900
98296,21.02,Snohomish,47.857900,-122.092000
